Name,AAU
Bramling Cross,6
Brewers Gold,8
BC Goldings,5
Bullion,7.5
Cascade,6.5
Centennial,10
Challenger,8.5
Chinook,12.5
Cluster,6.5
Columbus,14
Crystal,3.5
East Kent Goldings,5
Eroica,12
Fuggles,5
Galena,12.5
Green Bullet,10
Hallertau,5
Hallertauer Hersbrucker,4
Hallertauer Mittelfruh,5
Hallertauer Tradition,6
Liberty,4.5
Lublin,4
Millenium,15
Mt. Hood,5
Northdown,9.5
Northern Brewer,9
Nugget,14
Omega,10
Perle,8.5
Pride of Ringwood,9
Progress,6.5
Saaz (Zatec),4.5
Spalter,4.5
Spalter Select,5
Sticklebract,9.5
Strissel Spalt,4
Styrian Goldings,5
Summit,18
Target,11
Tettnanger,4
Ultra,3.5
Whitbread Golding,6
Willamette,5
Yeoman,11.5
Zenith,9.5
